dates,share_price_company,s&p_400_price,company_rfr,s&p_400_rfr
Mar-31-2016,131.86,1445.19,,
Apr-30-2016,120.88,1461.65,0.0183,0.0183
May-31-2016,120.88,1493.05,0.0184,0.0184
Jun-30-2016,131.38,1496.5,0.0149,0.0149
Jul-31-2016,147.3,1559.46,0.0146,0.0146
Aug-31-2016,149.57,1564.76,0.0158,0.0158
Sep-30-2016,151.85,1552.26,0.016,0.016
Oct-31-2016,169.24,1509.46,0.0184,0.0184
Nov-30-2016,168.04,1627.52,0.0237,0.0237
Dec-31-2016,159.24,1660.58,0.0245,0.0245
Jan-31-2017,174.54,1687.19,0.0245,0.0245
Feb-28-2017,189.81,1729.34,0.0236,0.0236
Mar-31-2017,184.3,1719.65,0.024,0.024
Apr-30-2017,181.39,1732.76,0.0229,0.0229
May-31-2017,211.72,1721.69,0.0221,0.0221
Jun-30-2017,211.53,1746.65,0.0231,0.0231
Jul-31-2017,186.5,1760.68,0.023,0.023
Aug-31-2017,182.26,1730.88,0.0212,0.0212
Sep-30-2017,198.55,1795.94,0.0233,0.0233
Oct-31-2017,183,1835.1,0.0238,0.0238
Nov-30-2017,186.16,1899.18,0.0242,0.0242
Dec-31-2017,188.96,1900.57,0.024,0.024
Jan-31-2018,216.85,1953.97,0.0272,0.0272
Feb-28-2018,222.41,1864.61,0.0287,0.0287
Mar-31-2018,233.56,1878.77,0.0274,0.0274
Apr-30-2018,241.73,1872.45,0.0295,0.0295
May-31-2018,251.48,1946.43,0.0283,0.0283
Jun-30-2018,282.17,1951.67,0.0285,0.0285
Jul-31-2018,262.66,1984.49,0.0296,0.0296
Aug-31-2018,298.56,2044.7,0.0286,0.0286
Sep-30-2018,294.8,2019.55,0.0305,0.0305
Oct-31-2018,268.79,1825.1,0.0315,0.0315
Nov-30-2018,277.32,1878.65,0.0301,0.0301
Dec-31-2018,247.99,1663.04,0.0269,0.0269
Jan-31-2019,283.73,1835.39,0.0263,0.0263
Feb-28-2019,250.94,1910.34,0.0273,0.0273
Mar-31-2019,258.1,1896.27,0.0241,0.0241
Apr-30-2019,270.58,1970.74,0.0251,0.0251
May-31-2019,279.5,1810.5,0.0214,0.0214
Jun-30-2019,278.28,1945.51,0.02,0.02
Jul-31-2019,244.53,1966.72,0.0202,0.0202
Aug-31-2019,226.84,1881.2,0.015,0.015
Sep-30-2019,244.59,1935.48,0.0168,0.0168
Oct-31-2019,271.62,1955.37,0.0169,0.0169
Nov-30-2019,294.3,2010.15,0.0178,0.0178
Dec-31-2019,293.78,2063.02,0.0192,0.0192
Jan-31-2020,281.75,2007.22,0.0151,0.0151
Feb-29-2020,339.46,1814,0.0113,0.0113
Mar-31-2020,324.07,1443.4,0.007,0.007
Apr-30-2020,361.93,1646.36,0.0064,0.0064
May-31-2020,385.84,1763.95,0.0065,0.0065
Jun-30-2020,369.44,1783.21,0.0066,0.0066
Jul-31-2020,386.61,1863.91,0.0055,0.0055
Aug-31-2020,408.96,1926.54,0.0072,0.0072
Sep-30-2020,425.28,1861.29,0.0069,0.0069
Oct-31-2020,378.32,1900.18,0.0088,0.0088
Nov-30-2020,392.57,2168.5,0.0084,0.0084
Dec-31-2020,383.46,2306.62,0.0093,0.0093
Jan-31-2021,370.76,2340.12,0.0111,0.0111
Feb-28-2021,346.51,2496.26,0.0144,0.0144
Mar-31-2021,367.79,2609.24,0.0174,0.0174
Apr-21-2021,394.8,2666.77,0.0158,0.0158
